"id","log2(fc)","PValue","FDR","Symbol","transcDNA_MAX_MAX_gene_id","transcDNA_MAX_MAX_tx_len","transcDNA_MAX_MAX_symbol","transcDNA_mean_MEAN_gene_id","transcDNA_mean_MEAN_avg_len","transcDNA_mean_MEAN_symbol","transcDNA_median_MEDIAN_gene_id","transcDNA_median_MEDIAN_median_len","transcDNA_median_MEDIAN_symbol"
"ENSG00000092199",-3.84811310363573,"6.07494673273589e-187",1.05333501398908e-182,"HNRNPC","3183",4501,"HNRNPC","3183",1315.46875,"HNRNPC","3183",1097.5,"HNRNPC"
"ENSG00000059804",3.43597182157947,"3.65176961922575e-165",3.16590167138776e-161,"SLC2A3","6515",4414,"SLC2A3","6515",1782.45454545455,"SLC2A3","6515",943,"SLC2A3"
"ENSG00000099194",-3.09814521141091,"5.4166906156144e-100",3.13066661947127e-96,"SCD","6319",5245,"SCD","6319",5245,"SCD","6319",5245,"SCD"
"ENSG00000117906",-2.63637230024813,"1.54321375575917e-82",6.68944582777706e-79,"RCN2","5955",6218,"RCN2","5955",2440.66666666667,"RCN2","5955",1558,"RCN2"
"ENSG00000143753",-2.42634179647585,"3.95396018375145e-69",1.37115431252133e-65,"DEGS1","8560",2032,"DEGS1","8560",995,"DEGS1","8560",795,"DEGS1"
"ENSG00000140479",-2.14683176494116,"2.35474948489615e-67",6.8048335531024e-64,"PCSK6","5046",4852,"PCSK6","5046",2356.79310344828,"PCSK6","5046",2341,"PCSK6"
"ENSG00000026508",-2.13063258892864,"4.53879021118549e-64",1.12425833531065e-60,"CD44","960",5431,"CD44","960",1074.35135135135,"CD44","960",705,"CD44"
"ENSG00000101972",-2.01125951176364,"2.20634794961024e-59",4.78198338728649e-56,"STAG2","10735",6885,"STAG2","10735",3166.10344827586,"STAG2","10735",2643,"STAG2"
"ENSG00000167754",-2.40841764009479,"6.09233724744951e-59",1.17372261703919e-55,"KLK5","25818",1513,"KLK5","25818",1251.2,"KLK5","25818",1365,"KLK5"
"ENSG00000147676",-2.22479291037636,"6.0314466382312e-57",1.04579253260291e-53,"MAL2","114569",2826,"MAL2","114569",1217.25,"MAL2","114569",735,"MAL2"
"ENSG00000099998",-2.00179479199886,"7.56636921433274e-56",1.19266614370287e-52,"GGT5","2687",2428,"GGT5","2687",1743.6,"GGT5","2687",2334,"GGT5"
"ENSG00000184254",-2.0498681678117,"1.12168770812536e-53",1.62074526426547e-50,"ALDH1A3","220",3469,"ALDH1A3","220",1503.16666666667,"ALDH1A3","220",649.5,"ALDH1A3"
"ENSG00000187837",2.22328961770122,"4.85429467178136e-51",6.474508870309e-48,"H1-2","3006",731,"H1-2","3006",731,"H1-2","3006",731,"H1-2"
"ENSG00000114744",-2.45760436621425,"2.03110059379527e-50",2.51551808541545e-47,"COMMD2","51122",3694,"COMMD2","51122",1126.85714285714,"COMMD2","51122",721,"COMMD2"
